"Catalogo de sismos - Servicio Sismologico Nacional (SSN) | UNAM - Mexico. DOI: 10.21766/SSNMX/EC/MX"
"Informacion sujeta a cambios. Archivo generado el 2022-10-11 a las 16:29:59 (tiempo del centro de Mexico)."
"Sismicidad del 1900-10-01 al 2022-10-11, mag. 7.0 a 9.9, todas las profundidades, en todo el pais."
"Total: 86 eventos."
Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,"Referencia de localizacion","Fecha UTC","Hora UTC","Estatus"
1954-04-29,05:34:34,7.0,28.5,-113.0,33.0,"120 km al NORESTE de GUERRERO NEGRO, BCS",1954-04-29,11:34:34,revisado
1957-07-28,02:40:10,7.8,17.11,-99.1,33.0,"47 km al NORESTE de SAN MARCOS, GRO",1957-07-28,08:40:10,revisado
1962-05-11,08:11:57,7.1,17.25,-99.58,33.0,"34 km al SUR de CHILPANCINGO, GRO",1962-05-11,14:11:57,revisado
1962-05-19,08:58:10,7.0,17.12,-99.57,33.0,"41 km al NOROESTE de SAN MARCOS, GRO",1962-05-19,14:58:10,revisado
1964-07-06,01:22:13,7.2,18.03,-100.77,55.0,"38 km al SUROESTE de CD ALTAMIRANO, GRO",1964-07-06,07:22:13,revisado
1965-08-23,13:46:02,7.4,16.178,-95.877,12.0,"53 km al NORESTE de CRUCECITA, OAX",1965-08-23,19:46:02,revisado
1968-08-02,08:06:37,7.3,16.6,-97.8,16.0,"39 km al NORESTE de PINOTEPA NACIONAL, OAX",1968-08-02,14:06:37,revisado
1970-04-29,08:01:34,7.3,14.463,-92.683,44.0,"62 km al SUROESTE de CD HIDALGO, CHIS",1970-04-29,14:01:34,revisado
1973-01-30,15:01:12,7.6,18.412,-103.019,24.0,"43 km al SURESTE de COALCOMAN, MICH",1973-01-30,21:01:12,revisado
1973-08-28,03:50:41,7.3,18.248,-96.551,82.0,"30 km al SUROESTE de TIERRA BLANCA, VER",1973-08-28,09:50:41,revisado
1976-02-04,03:01:46,7.5,15.262,-89.198,13.0,"319 km al ESTE de FRONTERA COMALAPA, CHIS",1976-02-04,09:01:46,revisado
1978-11-29,13:52:50,7.6,16.013,-96.586,23.0,"32 km al NOROESTE de S PEDRO POCHUTLA, OAX",1978-11-29,19:52:50,revisado
1979-03-14,05:07:15,7.4,17.75,-101.263,25.0,"24 km al NORTE de PETATLAN, GRO",1979-03-14,11:07:15,revisado
1980-10-24,08:53:36,7.1,18.174,-98.222,65.0,"19 km al OESTE de ACATLAN DE OSORIO, PUE",1980-10-24,14:53:36,revisado
1981-10-24,21:22:16,7.3,18.088,-102.061,21.0,"18 km al NORESTE de LAS GUACAMAYAS, MICH",1981-10-25,03:22:16,revisado
1982-06-07,04:59:40,7.0,16.516,-98.339,19.0,"20 km al SURESTE de OMETEPEC, GRO",1982-06-07,10:59:40,revisado
1982-06-19,00:21:59,7.3,13.346,-89.368,74.0,"335 km al SURESTE de CD HIDALGO, CHIS",1982-06-19,06:21:59,revisado
1983-12-01,21:09:04,7.0,14.032,-91.956,35.0,"75 km al SURESTE de CD HIDALGO, CHIS",1983-12-02,03:09:04,revisado
1985-09-19,07:17:49,8.1,18.419,-102.468,15.0,"45 km al NOROESTE de LA MIRA, MICH",1985-09-19,13:17:49,revisado
1985-09-20,19:37:14,7.6,17.828,-101.681,17.0,"25 km al NOROESTE de ZIHUATANEJO, GRO",1985-09-21,01:37:14,revisado
1986-04-30,01:07:19,7.0,18.361,-103.045,22.0,"48 km al SUR de COALCOMAN, MICH",1986-04-30,07:07:19,revisado
1993-09-10,13:12:57,7.2,14.8,-92.687,34.0,"44 km al SUROESTE de HUIXTLA, CHIS",1993-09-10,19:12:57,revisado
1995-09-14,08:04:33,7.3,16.752,-98.667,21.0,"29 km al NOROESTE de OMETEPEC, GRO",1995-09-14,14:04:33,revisado
1995-10-09,09:35:54,8.0,18.993,-104.245,25.0,"10 km al SURESTE de MANZANILLO, COL",1995-10-09,15:35:54,revisado
1995-10-20,20:38:58,7.1,16.811,-93.474,160.0,"12 km al NOROESTE de OCOZOCOAUTLA, CHIS",1995-10-21,02:38:58,revisado
1996-02-24,21:08:19,7.1,15.88,-97.98,15.0,"52 km al SUR de PINOTEPA NACIONAL, OAX",1996-02-25,03:08:19,revisado
1997-01-11,14:28:26,7.1,18.34,-102.58,40.0,"43 km al NOROESTE de LA MIRA, MICH",1997-01-11,20:28:26,revisado
1999-06-15,15:42:04,7.0,18.133,-97.539,63.0,"29 km al SUROESTE de S GABRIEL CHILAC, PUE",1999-06-15,20:42:04,revisado
1999-09-30,11:31:13,7.4,16.056,-97.004,39.0,"22 km al NORESTE de PUERTO ESCONDIDO, OAX",1999-09-30,16:31:13,revisado
2000-08-09,06:41:47,7.0,17.99,-102.66,16.0,"35 km al OESTE de LA MIRA, MICH",2000-08-09,11:41:47,revisado
2003-01-21,20:06:34,7.6,18.6,-104.22,9.0,"46 km al SUROESTE de CD DE ARMERIA, COL",2003-01-22,02:06:34,revisado
2010-04-04,17:40:42,7.2,32.47,-115.37,10.0,"23 km al SURESTE de MEXICALI, BC",2010-04-04,22:40:42,revisado
2012-03-20,12:02:48,7.5,16.264,-98.457,18.0,"46 km al SUR de OMETEPEC, GRO",2012-03-20,18:02:48,revisado
2012-11-07,10:35:50,7.3,14.0272,-92.3155,17.1,"74 km al SUR de CD HIDALGO, CHIS",2012-11-07,16:35:50,revisado
2014-04-18,09:27:21,7.2,17.011,-101.46,18.0,"61 km al SUROESTE de PETATLAN, GRO",2014-04-18,14:27:21,revisado
2017-09-07,23:49:17,8.2,14.761,-94.103,45.9,"140 km al SUROESTE de PIJIJIAPAN, CHIS",2017-09-08,04:49:17,revisado
2017-09-19,13:14:39,7.1,18.3297,-98.6712,51.2,"8 km al NOROESTE de CHIAUTLA DE TAPIA, PUE",2017-09-19,18:14:39,revisado
2018-02-16,17:39:39,7.2,16.218,-98.0135,16.0,"14 km al SURESTE de PINOTEPA NACIONAL, OAX",2018-02-16,23:39:39,revisado
2020-06-23,10:29:03,7.4,15.8033,-96.1337,22.8,"4 km al NORTE de CRUCECITA, OAX",2020-06-23,15:29:03,revisado
2021-09-07,20:47:46,7.1,16.7553,-99.9533,15.0,"14 km al SUROESTE de ACAPULCO, GRO",2021-09-08,01:47:46,revisado
2022-09-19,13:05:09,7.7,18.22,-103.29,15.0,"63 km al SUR de COALCOMAN, MICH ",2022-09-19,18:05:09,verificado
"Fecha y hora local en tiempo del centro de Mexico. Coordenadas geograficas (latitud y longitud) del epicentro en grados decimales. Profundidad en kilometros."
"La localizacion es solo una referencia a una localidad importante en cuanto a numero de habitantes y cercana al epicentro."
"Los registros con estatus verificado son los calculados y publicados de manera oportuna por al menos un analista de sismogramas."
"Los registros obtienen estatus revisado cuando se realiza un analisis, de ser posible, con mas y mejores datos para el calculo de parametros y cuyo tiempo de publicacion es variable."
"Esta informacion puede ser reproducida con fines no lucrativos siempre y cuando se mencione como fuente al Servicio Sismologico Nacional. De otra forma, requiere permiso previo por escrito de la institucion."
"Consulta nuestro Aviso Legal y Terminos de Uso en: www.ssn.unam.mx/aviso-legal"
"www.ssn.unam.mx | contacto@sismologico.unam.mx | 5622 2222 ext. 38706 (reportes de sismicidad), 38700 y 38701 (area administrativa)."
